Epoch Time,Processing Source,Mean Barometric Pressure (hPa),Latitude (deg),Longitude (deg)
1788998400,hdr,1015.37,43.4728757,-70.3598447
1788998700,hdr,1015.31,43.4728705,-70.3598577
1788999000,hdr,1015.2,43.4728708,-70.3598628
1788999300,hdr,1015.18,43.4728667,-70.3598525
1788999600,hdr,1015.2,43.4728713,-70.3598452
1788999900,hdr,1015.1,43.472859,-70.3598348
1789000200,hdr,1015.0,43.4728525,-70.3598203
1789000500,embedded,1015.3000000000001,43.47285,-70.3598333
1789000500,hdr,1014.92,43.4728512,-70.35984
1789000800,hdr,1014.88,43.4728473,-70.3598342
1789001100,hdr,1014.82,43.4728478,-70.3598205
1789001400,hdr,1014.68,43.4728457,-70.3598298
1789001700,hdr,1014.59,43.472845,-70.3598278
1789002300,hdr,1014.42,43.4728462,-70.359844
1789002600,hdr,1014.32,43.4728457,-70.3598332
1789002900,hdr,1014.22,43.472845,-70.3598307
1789003200,hdr,1014.12,43.4728518,-70.359826
1789003500,hdr,1013.97,43.4728667,-70.35983
1789003800,hdr,1013.85,43.472896,-70.359817
1789004100,hdr,1013.7,43.4729448,-70.359787
1789004100,embedded,1014.3000000000001,43.4729167,-70.3597833
1789004400,hdr,1013.58,43.4729643,-70.3597517
1789004700,hdr,1013.58,43.4729623,-70.3597105
1789005000,hdr,1013.47,43.4729693,-70.359706
1789005300,hdr,1013.27,43.4729812,-70.3597035
1789005600,hdr,1013.06,43.4729847,-70.3597158
1789005900,hdr,1012.88,43.4729883,-70.3597183
1789006200,hdr,1012.77,43.4729885,-70.3597132
1789006500,hdr,1012.55,43.4729932,-70.3597303
1789006800,hdr,1012.3,43.4730027,-70.3597247
1789007100,hdr,1012.06,43.4729987,-70.3597215
1789007400,hdr,1011.91,43.4730047,-70.3597238
1789007700,hdr,1011.75,43.4730103,-70.3597437
1789007700,embedded,1012.8000000000001,43.473,-70.3597333
1789008000,hdr,1011.65,43.4729985,-70.3597392
1789008300,hdr,1011.57,43.4729972,-70.359717
1789008600,hdr,1011.5,43.4729953,-70.359712
1789008900,hdr,1011.34,43.472999,-70.3597232
1789009200,hdr,1011.2,43.4730062,-70.3597275
1789009500,hdr,1011.13,43.4730007,-70.3597167
1789009800,hdr,1011.05,43.4730053,-70.3597153
1789010100,hdr,1010.95,43.4730035,-70.3597203
1789010400,hdr,1010.86,43.4730038,-70.3597163
1789010700,hdr,1010.76,43.4729983,-70.3597128
1789011000,hdr,1010.56,43.4730015,-70.3597068
1789011300,hdr,1010.38,43.4730015,-70.3597002
1789011300,embedded,1011.1,43.473,-70.3597167
1789011600,hdr,1010.32,43.4730048,-70.3596963
1789011900,hdr,1010.3,43.4730023,-70.3596983
1789012200,hdr,1010.21,43.4730083,-70.3597128
1789012500,hdr,1010.13,43.4730055,-70.3597158
1789012800,hdr,1010.03,43.4729983,-70.3597118
1789013100,hdr,1009.94,43.4729982,-70.3597058
1789013400,hdr,1009.82,43.4729975,-70.359695
1789013700,hdr,1009.69,43.473,-70.3597042
1789014000,hdr,1009.47,43.4730003,-70.3597063
1789014300,hdr,1009.27,43.4730007,-70.3597083
1789014600,hdr,1009.15,43.4729962,-70.359708
1789014900,hdr,1009.05,43.4730078,-70.3597118
1789014900,embedded,1009.8000000000001,43.4729833,-70.3597
1789015200,hdr,1008.96,43.473004,-70.3596925
1789015500,hdr,1009.0,43.4730023,-70.3596843
1789015800,hdr,1009.0,43.4730038,-70.3596902
1789016100,hdr,1008.93,43.473008,-70.3596817
1789016400,hdr,1008.81,43.4730058,-70.3596803
1789016700,hdr,1008.62,43.473002,-70.359666
1789017000,hdr,1008.51,43.4730012,-70.3596722
1789017300,hdr,1008.37,43.473004,-70.359684
1789017600,hdr,1008.3,43.4730142,-70.3596877
1789017900,hdr,1008.37,43.4730043,-70.3596732
1789018200,hdr,1008.31,43.473013,-70.3596952
1789018500,hdr,1008.08,43.4730032,-70.3596807
1789018500,embedded,1008.6,43.473,-70.35965
1789018800,hdr,1008.0,43.4730148,-70.3596793
1789019100,hdr,1007.97,43.4730197,-70.359685
1789019400,hdr,1008.01,43.4730123,-70.3596673
1789019700,hdr,1007.83,43.4730208,-70.3596815
1789020000,hdr,1007.66,43.4730197,-70.3596865
1789020300,hdr,1007.54,43.473018,-70.3596783
1789020600,hdr,1007.58,43.473014,-70.3596662
1789020900,hdr,1007.69,43.4730127,-70.3596825
1789021200,hdr,1007.76,43.4730098,-70.3596798
1789021500,hdr,1007.57,43.4729958,-70.3596602
1789021800,hdr,1007.52,43.4729933,-70.3596572
1789022100,hdr,1007.45,43.4729898,-70.3596477
1789022100,embedded,1007.7,43.473,-70.35965
1789022400,hdr,1007.41,43.4729888,-70.3596408
1789022700,hdr,1007.32,43.4729963,-70.359635
1789023000,hdr,1007.29,43.4730015,-70.359631
1789023300,hdr,1007.23,43.473004,-70.3596373
1789023600,hdr,1007.19,43.4730037,-70.3596357
1789023900,hdr,1007.21,43.4729987,-70.3596335
1789024200,hdr,1007.2,43.4729885,-70.3596282
1789024500,hdr,1007.21,43.4729905,-70.35963
1789024800,hdr,1007.22,43.472985,-70.3596302
1789025100,hdr,1007.16,43.4729872,-70.3596265
1789025400,hdr,1007.04,43.4729918,-70.35963
1789025700,hdr,1006.96,43.4729998,-70.3596395
1789025700,embedded,1007.2,43.4729833,-70.3596167
