Epoch Time,Processing Source,f,varianceDensity
1789344000,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.0006830079999999999;0.001132544;0.001055744;0.0011673599999999999;0.001610752;0.001806336;0.0024340480000000003;0.011076608;0.021222400000000002;0.013526016;0.0058019840000000005;0.004123648;0.002148352;0.005780479999999999;0.013127680000000001;0.0216576;0.037225472;0.02624512;0.01098752;0.006248447999999999;0.008424448000000001;0.008642559999999999;0.007035904000000001;0.007327744;0.012015616;0.010960896000000001;0.008689664000000001;0.007878656;0.0060016639999999994;0.00690688;0.006916095999999999;0.006158336;0.00564736;0.006178816000000001;0.006417408;0.004242432;0.0031897600000000003;0.003713024;0.0026644480000000003;0.004205568;0.004296704;0.0022231040000000005;0.002048;0.00398336;0.002919424;0.002164736;0.002424832;0.0022886399999999998;0.001371136;0.00125952;0.0019210240000000001;0.0018575360000000001;0.00138752;0.002105344;0.001605632;0.00145408;0.000930816;0.000582656;0.0008089600000000001;0.000606208;0.000653312;0.00047616000000000005;0.000434176;0.000652288;0.0006184960000000001;0.0006819840000000001;0.000730112;0.0006041600000000001;0.00047308800000000003;0.0006092800000000001;0.00050688;0.000234496;0.000289792;0.000448512;0.00030105599999999996;0.000218112;0.000205824;0.000274432;0.000222208
1789344900,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.000211968;0.0008202239999999999;0.0007290879999999999;0.000854016;0.001574912;0.002523136;0.00443392;0.004498432;0.007996416000000001;0.013138944;0.007481344;0.0041093119999999995;0.00282112;0.003642368;0.010671103999999999;0.027025408;0.027974656;0.020750335999999998;0.014086144;0.011390976;0.010871807999999998;0.012525567999999999;0.012199936;0.008990719999999999;0.008077312;0.007773183999999999;0.006893568;0.006111232;0.00651264;0.008411136;0.006413312;0.004555776;0.004356095999999999;0.005582848;0.006704127999999999;0.006196224;0.005477375999999999;0.004809728;0.005094400000000001;0.004227072;0.00291328;0.003154944;0.0022855680000000004;0.0021002239999999995;0.002280448;0.002793472;0.002352128;0.0016977919999999998;0.001795072;0.00149504;0.0012001280000000002;0.001422336;0.000941056;0.000907264;0.001062912;0.000781312;0.000864256;0.0009461760000000001;0.000643072;0.000768;0.0007168;0.000637952;0.000688128;0.000672768;0.0005877759999999999;0.000512;0.0004915200000000001;0.000329728;0.00030003200000000004;0.000318464;0.000246784;0.000288768;0.000283648;0.000173056;0.000258048;0.000264192;0.000207872;0.000272384;0.000260096
1789345800,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.000268288;0.000282624;0.000351232;0.00040345599999999995;0.000538624;0.002265088;0.004139008;0.008900608;0.017711104;0.014943232;0.006750208;0.0042137599999999996;0.003417088;0.0043008000000000005;0.004896768;0.01210368;0.025186304;0.02353664;0.012910591999999999;0.01332736;0.013804544;0.011014144;0.014244864;0.011119616;0.007803904;0.009458688;0.013205504;0.007988224;0.0071014400000000005;0.00724992;0.006234112;0.00801792;0.008008704;0.0046991360000000005;0.00384512;0.00421888;0.0038594560000000003;0.003105792;0.003149824;0.003473408;0.004575232;0.004287487999999999;0.00272896;0.0034816;0.00339968;0.002070528;0.0026490879999999995;0.0028129279999999997;0.0016691199999999998;0.001502208;0.001030144;0.0016906239999999997;0.0016302080000000002;0.001082368;0.001373184;0.0016435199999999999;0.0009523200000000001;0.0007188480000000001;0.000772096;0.000611328;0.0008744960000000001;0.000781312;0.0004986880000000001;0.000494592;0.000468992;0.0006604799999999999;0.0005416959999999999;0.000331776;0.000499712;0.00031232;0.000391168;0.000411648;0.00029593599999999995;0.000349184;0.00035532799999999997;0.00021299199999999998;0.00024780799999999997;0.00033894400000000004;0.00035430400000000006
1789346700,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,8.2944e-05;0.000244736;0.0008601600000000001;0.00039731200000000003;0.0027453439999999994;0.0034037760000000003;0.0073932799999999995;0.014507008000000002;0.020744192;0.013988864;0.009259007999999999;0.005715968;0.003054592;0.003725312;0.005318656;0.00843776;0.01288704;0.018048;0.018307072;0.013462528;0.01357312;0.016555008000000003;0.010251264000000001;0.012740608;0.007995392;0.008751104;0.01133568;0.009568255999999999;0.008098815999999998;0.008426496;0.006923263999999999;0.005907456;0.0062054400000000004;0.0073953280000000005;0.007396352;0.004083712000000001;0.005286912;0.006043648;0.00448;0.003014656;0.003519488;0.004312064;0.004757504;0.002794496;0.002675712;0.003823616;0.002982912;0.0018411519999999998;0.0022968320000000004;0.00141312;0.00176128;0.0014561280000000001;0.001441792;0.000941056;0.00067072;0.000715776;0.0010178560000000001;0.001125376;0.000817152;0.00099328;0.001073152;0.000802816;0.0006656;0.000502784;0.000567296;0.0006830079999999999;0.000421888;0.00019456;0.00016691200000000002;0.000283648;0.000365568;0.000468992;0.00046592000000000004;0.000382976;0.000253952;0.0001792;0.00021401600000000003;0.00019865600000000002;0.00029081600000000006
1789348500,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.000169984;8.192e-06;0.00123392;0.001799168;0.002961408;0.006537216;0.008117247999999999;0.012475392;0.016820223999999998;0.016866304;0.01128448;0.003920896;0.002866176;0.001846272;0.004432896;0.010185728;0.03009024;0.026479616;0.018417663999999997;0.012644352;0.016707583999999998;0.021471232;0.015857664;0.00853504;0.00796672;0.007535616;0.005342208;0.003591168;0.005499904;0.004736;0.0051025919999999995;0.006041599999999999;0.00764416;0.007663616;0.00611328;0.004692992;0.003969024;0.005293056;0.008591360000000001;0.004941824000000001;0.0031744;0.0022702079999999997;0.0020572159999999997;0.002966528;0.002034688;0.0019046400000000002;0.001401856;0.001829888;0.002167808;0.001385472;0.001058816;0.001043456;0.00150016;0.001325056;0.000743424;0.0008386559999999999;0.0009441279999999999;0.00118784;0.000990208;0.001222656;0.000692224;0.000592896;0.000626688;0.00049664;0.00035532799999999997;0.00029183999999999997;0.000318464;0.00028671999999999997;0.000391168;0.00039936;0.00032768;0.000288768;0.000193536;0.000217088;0.000228352;0.000233472;0.0001536;0.000176128;0.000160768
1789349400,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.000616448;0.001257472;0.000641024;0.001091584;0.001664;0.000812032;0.0030033919999999997;0.010832896;0.019378176;0.016154624;0.00634368;0.004227072;0.003398656;0.0039075839999999995;0.00330752;0.010916864;0.022462464;0.02223104;0.022318079999999997;0.0192512;0.022504448;0.011670527999999998;0.008933376;0.009238528000000001;0.007697408;0.006433792000000001;0.010221567999999999;0.0074004480000000004;0.005481471999999999;0.004696064;0.00712704;0.008016895999999999;0.0051619840000000005;0.003211264;0.003900416;0.00331264;0.0044031999999999995;0.00498176;0.003565568;0.003929088;0.003171328;0.004615167999999999;0.0037550080000000002;0.0022927360000000005;0.001806336;0.001227776;0.001662976;0.002096128;0.0012359679999999998;0.0010813440000000001;0.0011601919999999998;0.000918528;0.000759808;0.001086464;0.00097792;0.0008704;0.000676864;0.000603136;0.0013506560000000002;0.000888832;0.000704512;0.00061952;0.00041062399999999995;0.00050688;0.000315392;0.000331776;0.000349184;0.000329728;0.00023859199999999998;0.000193536;0.00020480000000000002;0.00029183999999999997;0.000319488;0.000283648;0.00023859199999999998;0.000218112;0.0001792;0.000137216;0.000151552
1789350300,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.000126976;0.0008652800000000001;0.001316864;0.000449536;0.002177024;0.002671616;0.00836096;0.013624320000000002;0.010790912;0.007809024;0.00925184;0.009115648;0.004462592;0.001905664;0.003120128;0.010422272;0.037691392;0.05065728;0.0367616;0.028763135999999998;0.02316288;0.015496192;0.017536;0.014834688;0.009151488000000001;0.007432192;0.007065599999999999;0.006925312;0.007206912;0.007928832;0.006893568;0.0065791999999999995;0.008146944;0.0088576;0.008786944;0.0066211840000000004;0.005942272;0.004091904;0.003680256;0.003365888;0.0021288960000000003;0.002364416;0.004225024;0.004591616;0.006020096;0.0037949439999999997;0.001635328;0.0016384000000000001;0.002052096;0.0021248;0.001758208;0.001716224;0.00154624;0.001381376;0.00122368;0.000899072;0.000802816;0.000743424;0.00082432;0.000863232;0.000463872;0.0005416959999999999;0.000514048;0.000490496;0.00047923199999999995;0.000544768;0.00040448000000000003;0.00047820800000000004;0.000408576;0.000380928;0.00027136;0.00035430400000000006;0.000345088;0.00027136;0.00014745600000000002;0.00018739199999999998;0.0003072;0.00021401600000000003;0.00016896
1789351200,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.0006993920000000001;0.000872448;0.00015052799999999998;0.000103424;0.000550912;0.0018964479999999998;0.01038848;0.030647296;0.031639552;0.023610368000000003;0.013247488000000002;0.008835072;0.005815296;0.00452608;0.007629824;0.012548096;0.022300671999999997;0.03099648;0.021577728;0.015229952000000001;0.017858560000000002;0.019520512;0.020386816;0.015811584;0.010171392000000001;0.009589760000000001;0.0074874880000000005;0.010945536;0.00896;0.008208384;0.008398848;0.0053442559999999995;0.004819968;0.006571008;0.006475776;0.005607424;0.00356352;0.006094848;0.005378048;0.004762624;0.003944448;0.003406848;0.003432448;0.0028467199999999996;0.0035205120000000004;0.003068928;0.002258944;0.0022323200000000003;0.0015185919999999998;0.0013987840000000001;0.001794048;0.001783808;0.0014438399999999998;0.001225728;0.000831488;0.00082944;0.000857088;0.000620544;0.0005376000000000001;0.00044339199999999997;0.00051712;0.00067584;0.0005867520000000001;0.00052224;0.000485376;0.000700416;0.000579584;0.000503808;0.000382976;0.000237568;0.000305152;0.000284672;0.000263168;0.00028569600000000005;0.00029900799999999997;0.00030003200000000004;0.00020889599999999997;0.00016896;7.782399999999999e-05
1789352100,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.00033792;0.000344064;1.7408e-05;0.00039423999999999997;0.0035368960000000003;0.00510976;0.004521984;0.013661184000000002;0.028275711999999998;0.017283072;0.010935295999999999;0.011934720000000001;0.005302272;0.004020223999999999;0.00475136;0.011267072;0.029402111999999998;0.0454144;0.025405439999999998;0.018627584;0.01529344;0.009703424;0.013147136;0.011669503999999999;0.008607744;0.007998464;0.010820608;0.009224192;0.009772032;0.013491199999999998;0.011273216;0.008973312;0.008107008;0.008368128;0.006346752000000001;0.005307392;0.004210688;0.0034979840000000004;0.002374656;0.0026849280000000005;0.0027648;0.0025743360000000004;0.002753536;0.002501632;0.0030207999999999997;0.003228672;0.002054144;0.002015232;0.002148352;0.0028129279999999997;0.0020254720000000004;0.00167424;0.0015892480000000001;0.00138752;0.0013639680000000001;0.0011151359999999999;0.0007229440000000001;0.0006277120000000001;0.000772096;0.001026048;0.0008192000000000001;0.000548864;0.000796672;0.000933888;0.000510976;0.00047616000000000005;0.00044646400000000004;0.00039423999999999997;0.000305152;0.00028569600000000005;0.00037785600000000004;0.000330752;0.000242688;0.000260096;0.000191488;0.00014335999999999998;0.00021913599999999998;0.000218112;0.000130048
1789353000,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.0008222720000000001;0.001026048;0.000674816;0.0008560640000000001;0.0012605440000000002;0.003889152;0.00832512;0.020599808;0.012793856;0.007921664;0.009290752;0.008615936;0.004816895999999999;0.0032573439999999997;0.004145152;0.005919743999999999;0.020050944;0.047529984;0.044399616;0.021521408;0.0178944;0.015256576;0.016219136;0.017364992000000003;0.015524864000000001;0.014114815999999999;0.009986048;0.008635392;0.012177407999999999;0.007903232;0.009769983999999999;0.00850432;0.007986176000000001;0.0056872960000000005;0.005108736000000001;0.008179712;0.006106112;0.004376576;0.0028057599999999996;0.003207168;0.002980864;0.002601984;0.002820096;0.00190976;0.00279552;0.002748416;0.002443264;0.0017889280000000002;0.0016732160000000002;0.001560576;0.001333248;0.001373184;0.001462272;0.000898048;0.000543744;0.0007884799999999999;0.0011243520000000001;0.001509376;0.001201152;0.00059904;0.00046592000000000004;0.00033792;0.00034201599999999995;0.000453632;0.000395264;0.00041676800000000003;0.0005877759999999999;0.000454656;0.000485376;0.000251904;0.000315392;0.000411648;0.00044339199999999997;0.000284672;0.00027136;0.0003072;0.000289792;0.00024780799999999997;0.00026112
