Epoch Time,Processing Source,Latitude (deg),Longitude (deg),Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Wind Speed (m/s),Wind Direction (deg),Partition0 Start Frequency (hz),Partition0 End Frequency (hz),Partition0 Significant Wave Height (m),Partition0 Mean Period (s),Partition0 Mean Direction (deg),Partition0 Mean Directional Spread (deg),Partition1 Start Frequency (hz),Partition1 End Frequency (hz),Partition1 Significant Wave Height (m),Partition1 Mean Period (s),Partition1 Mean Direction (deg),Partition1 Mean Directional Spread (deg)
1790380800,hdr,43.4729198,-70.359983,1.525,9.309,6.67,71.097,33.072,88.727,36.683,5.88,86,0.029296875,0.126953125,1.06,10.522,88.185,40.493,0.126953125,0.80078125,1.095,4.968,91.018,35.012
1790381100,embedded,43.4729,-70.3599833,1.51,11.38,6.7,90.134,32.738,87.202,37.92,5.2,91,,,,,,,,,,,,
1790381700,hdr,43.4729025,-70.3599797,1.575,11.378,7.15,89.257,27.304,88.844,32.237,5.17,87,0.029296875,0.126953125,1.182,11.178,88.456,30.582,0.126953125,0.80078125,1.041,4.882,90.075,34.926
1790382600,hdr,43.4728693,-70.359987,1.436,11.378,6.549,90.533,30.999,87.014,36.389,5.05,77,0.029296875,0.126953125,0.947,10.665,88.526,38.702,0.126953125,0.80078125,1.079,5.05,86.711,35.05
1790382900,embedded,43.4728833,-70.3599833,1.52,11.38,6.92,89.934,31.234,87.83,36.22,4.8,80,,,,,,,,,,,,
1790383500,hdr,43.4728928,-70.3599727,1.442,11.378,6.768,93.9,31.132,88.013,36.563,4.59,87,0.029296875,0.126953125,1.004,11.191,91.731,37.04,0.126953125,0.80078125,1.034,4.929,84.104,36.527
1790384400,hdr,43.4729032,-70.3599622,1.505,10.24,6.853,90.479,30.226,89.855,32.616,4.6,92,0.029296875,0.126953125,1.049,10.591,90.84,33.187,0.126953125,0.80078125,1.079,5.14,88.99,33.892
1790384700,embedded,43.4728833,-70.35995,1.45,11.38,6.78,95.925,33.075,90.359,37.999,4.0,91,,,,,,,,,,,,
1790385300,hdr,43.4728958,-70.359957,1.52,12.799,7.067,93.094,34.762,89.797,35.857,5.22,79,0.029296875,0.126953125,1.124,10.843,90.556,35.326,0.126953125,0.80078125,1.023,4.976,89.121,38.202
1790386200,hdr,43.4728973,-70.3599642,1.489,12.799,6.558,91.722,27.585,90.365,35.01,4.47,92,0.029296875,0.126953125,0.98,10.868,92.763,35.434,0.126953125,0.80078125,1.121,5.033,88.681,35.11
1790386500,embedded,43.4728833,-70.35995,1.54,12.8,6.88,88.247,30.038,89.155,36.617,4.0,80,,,,,,,,,,,,
1790387100,hdr,43.4728962,-70.359926,1.478,12.799,6.784,83.404,31.332,85.551,37.66,4.24,90,0.029296875,0.126953125,1.022,10.703,81.52,38.27,0.126953125,0.80078125,1.067,5.079,89.595,38.068
1790388000,hdr,43.4728705,-70.3599307,1.537,11.378,6.766,99.616,31.6,93.707,34.916,4.83,83,0.029296875,0.126953125,1.046,10.78,94.611,35.536,0.126953125,0.80078125,1.125,5.119,92.974,36.222
1790388300,embedded,43.47285,-70.3599167,1.48,11.38,6.76,90.137,34.828,90.367,39.49,4.8,57,,,,,,,,,,,,
1790388900,hdr,43.4728333,-70.3599233,1.558,11.378,7.069,91.523,30.249,89.897,35.513,4.56,110,0.029296875,0.126953125,1.097,10.942,87.516,35.2,0.126953125,0.80078125,1.105,5.242,92.325,36.158
1790389800,hdr,43.4728482,-70.359935,1.561,11.378,7.369,81.938,31.422,87.033,36.77,4.66,87,0.029296875,0.126953125,1.192,10.81,84.335,36.131,0.126953125,0.80078125,1.007,5.099,91.805,39.681
1790390100,embedded,43.47285,-70.3599167,1.55,11.38,7.24,88.687,35.266,89.71,38.752,4.0,102,,,,,,,,,,,,
1790390700,hdr,43.472833,-70.3598968,1.496,10.24,7.135,90.757,46.565,87.637,38.861,4.7,68,0.029296875,0.126953125,1.079,10.43,85.48,42.351,0.126953125,0.80078125,1.035,5.309,90.393,37.151
1790391600,hdr,43.4728197,-70.3599015,1.554,11.378,7.119,94.68,35.938,93.81,37.055,4.46,101,0.029296875,0.126953125,1.136,10.815,92.358,37.436,0.126953125,0.80078125,1.06,5.114,95.473,37.912
1790391900,embedded,43.47285,-70.3598667,1.53,11.38,7.02,92.237,40.408,90.811,39.728,4.4,74,,,,,,,,,,,,
1790392500,hdr,43.4728358,-70.3598483,1.453,11.378,6.833,94.201,33.048,94.012,36.993,5.85,62,0.029296875,0.126953125,1.018,10.62,91.629,36.944,0.126953125,0.80078125,1.035,5.08,96.21,38.177
1790393400,hdr,43.4728262,-70.3598357,1.526,11.378,6.884,110.528,38.913,97.002,37.928,4.45,63,0.029296875,0.126953125,1.076,10.705,101.353,40.695,0.126953125,0.80078125,1.081,5.085,93.483,36.221
1790393700,embedded,43.4728333,-70.3598,1.56,11.38,7.12,97.057,35.168,93.362,39.136,4.4,68,,,,,,,,,,,,
1790394300,hdr,43.4728522,-70.3597777,1.709,11.378,7.355,91.861,35.826,91.869,35.756,5.25,92,0.029296875,0.126953125,1.306,10.914,89.407,36.441,0.126953125,0.80078125,1.102,5.042,95.78,36.404
