Epoch Time,Processing Source,Battery Voltage (V),Power (W),Humidity (%rel),Solar Voltage (V),Comm Source
1790197200,status,4.04,0,51.31,7.24,cellular
1790198100,status,4.04,0,51.58,7.1,cellular
1790199300,status,4.04,0.04,52,7,cellular
1790199310,status,4.07,1.01,52,6.56,cellular
1790206510,status,4.01,-1.09,61.6,0.11,cellular
1790224510,status,3.99,-1.05,76,0.11,cellular
1790242510,status,3.96,-1.1,80.8,0.11,cellular
1790262000,status,4.04,0,66.3,7.41,cellular
1790272800,status,4.04,0,51.93,7.31,cellular
1790273700,status,4.04,0,51.2,7.15,cellular
1790276400,status,4.04,0,47.95,7.31,cellular
1790278510,status,4.04,0,47.2,6.89,cellular
1790282110,status,4.04,0,46.4,6.89,cellular
1790288100,status,4.06,0.73,47.55,6.12,cellular
1790298900,status,4,-0.84,63.49,0.13,cellular
1790321710,status,3.96,-1.08,78.4,0.11,cellular
1790343310,status,4.04,0,74.4,7,cellular
1790361310,status,4.07,1.08,60,6.56,cellular
1790374500,status,4.02,-0.8,67.87,5.86,cellular
1790386510,status,3.99,-1.07,76,0.11,cellular
1790408111,status,3.96,-1.12,80.8,0.11,cellular
1790427600,status,3.99,0.88,80.8,5.86,cellular
